Latitude,Longitude,Timestamp
22.3411472,73.1546878,2024-08-31T00:37:23.947Z
22.3413145,73.1548423,2024-08-31T00:37:28.538Z
22.3413302,73.1548438,2024-08-31T00:37:31.435Z
22.341323,73.1550562,2024-08-31T00:37:34.875Z
22.3413306,73.1550614,2024-08-31T00:37:38.896Z
22.341147,73.1554791,2024-08-31T00:37:42.039Z
22.3411054,73.1555229,2024-08-31T00:37:45.089Z
22.3410887,73.1554815,2024-08-31T00:37:48.935Z
22.3410809,73.1554809,2024-08-31T00:37:53.146Z
22.3417077,73.1565482,2024-08-31T00:37:57.563Z
22.3417343,73.1565654,2024-08-31T00:38:00.569Z
22.3416497,73.1569391,2024-08-31T00:38:04.397Z
22.341666,73.1569408,2024-08-31T00:38:09.045Z
22.34261,73.1579406,2024-08-31T00:38:11.991Z
22.3426879,73.1580142,2024-08-31T00:38:16.114Z
22.3427698,73.1580402,2024-08-31T00:38:18.937Z
22.3429743,73.1587553,2024-08-31T00:38:21.447Z
22.3428896,73.1589462,2024-08-31T00:38:25.081Z
22.3429384,73.159063,2024-08-31T00:38:27.356Z
22.3428894,73.1590763,2024-08-31T00:38:30.659Z
22.3432536,73.1595045,2024-08-31T00:38:33.941Z
22.3432934,73.159544,2024-08-31T00:38:36.365Z
22.3440282,73.1606312,2024-08-31T00:38:40.913Z
22.3441831,73.16082,2024-08-31T00:38:44.030Z
22.344629,73.1611958,2024-08-31T00:38:47.020Z
22.3452083,73.160272,2024-08-31T00:38:51.642Z
22.3452798,73.1602971,2024-08-31T00:38:53.652Z
22.3444787,73.1615069,2024-08-31T00:39:00.995Z
22.3443286,73.1619359,2024-08-31T00:39:01.742Z
22.3441614,73.1629219,2024-08-31T00:39:06.566Z
22.3441328,73.1629255,2024-08-31T00:39:08.801Z
22.3442487,73.1634797,2024-08-31T00:39:11.959Z
22.3442686,73.1632112,2024-08-31T00:39:17.628Z
22.3442506,73.1632345,2024-08-31T00:39:20.571Z
22.3441459,73.164094,2024-08-31T00:39:22.983Z
22.3440256,73.1643216,2024-08-31T00:39:30.354Z
22.344003,73.1641624,2024-08-31T00:39:32.488Z
22.3440149,73.1646587,2024-08-31T00:39:35.604Z
22.3439843,73.1645507,2024-08-31T00:39:38.208Z
22.3439689,73.1645546,2024-08-31T00:39:40.519Z
22.3441246,73.1644422,2024-08-31T00:39:44.667Z
22.3442241,73.1648726,2024-08-31T00:39:47.364Z
22.3442406,73.1648764,2024-08-31T00:39:50.695Z
22.3436744,73.1662177,2024-08-31T00:39:54.143Z
22.3428494,73.1658378,2024-08-31T00:39:59.126Z
22.3432654,73.1663771,2024-08-31T00:40:02.122Z
22.3434542,73.1667934,2024-08-31T00:40:05.632Z
22.3434736,73.1668144,2024-08-31T00:40:08.565Z
22.3437185,73.1670247,2024-08-31T00:40:11.993Z
22.3436092,73.1671807,2024-08-31T00:40:15.588Z
22.3436074,73.1671827,2024-08-31T00:40:17.821Z
22.3432315,73.1683512,2024-08-31T00:40:25.592Z
22.343188,73.1677726,2024-08-31T00:40:25.690Z
22.3431839,73.16771,2024-08-31T00:40:25.780Z
22.3434726,73.1680827,2024-08-31T00:40:28.185Z
22.3435075,73.1681207,2024-08-31T00:40:31.658Z
22.3435097,73.1681204,2024-08-31T00:40:33.856Z
22.3430803,73.1690176,2024-08-31T00:40:36.507Z
22.3430502,73.1690966,2024-08-31T00:40:40.104Z
22.3430662,73.1691048,2024-08-31T00:40:42.377Z
22.343072,73.1691063,2024-08-31T00:40:44.112Z
22.3430538,73.1691108,2024-08-31T00:40:47.087Z
22.3430512,73.1691108,2024-08-31T00:40:50.437Z
22.3430022,73.1692817,2024-08-31T00:40:52.900Z
22.3430051,73.1693115,2024-08-31T00:40:54.590Z
22.3429444,73.1693754,2024-08-31T00:40:56.412Z
22.3429408,73.1693784,2024-08-31T00:40:57.389Z
22.3429671,73.1694443,2024-08-31T00:41:00.087Z
22.3430091,73.1695188,2024-08-31T00:41:03.424Z
22.3430599,73.1697072,2024-08-31T00:41:05.650Z
22.3431119,73.1698856,2024-08-31T00:41:08.167Z
22.34309,73.1699498,2024-08-31T00:41:11.181Z
22.3431082,73.1699476,2024-08-31T00:41:12.934Z
22.3431021,73.1699518,2024-08-31T00:41:15.103Z
22.3431653,73.1700324,2024-08-31T00:41:18.386Z
22.3431689,73.1700333,2024-08-31T00:41:20.654Z
22.3432592,73.1709287,2024-08-31T00:41:23.217Z
22.3432463,73.1710667,2024-08-31T00:41:25.716Z
22.3432464,73.1710709,2024-08-31T00:41:27.695Z
22.3432566,73.1711447,2024-08-31T00:41:29.539Z
22.3432283,73.1711358,2024-08-31T00:41:32.320Z
22.3432242,73.1711357,2024-08-31T00:41:35.424Z
22.3427428,73.1716725,2024-08-31T00:41:38.829Z
22.3426663,73.1717475,2024-08-31T00:41:41.030Z
22.3426608,73.1717532,2024-08-31T00:41:42.591Z
22.342493,73.1718397,2024-08-31T00:41:45.095Z
22.3424805,73.1719363,2024-08-31T00:41:48.863Z
22.3424687,73.1719374,2024-08-31T00:41:51.213Z
22.3425569,73.1728809,2024-08-31T00:41:53.687Z
22.3425027,73.1736464,2024-08-31T00:41:58.525Z
22.3424922,73.1736605,2024-08-31T00:42:01.001Z
22.3424526,73.1741223,2024-08-31T00:42:02.693Z
22.342401,73.1743305,2024-08-31T00:42:06.069Z
22.3423848,73.1743322,2024-08-31T00:42:08.557Z
22.3429928,73.1751823,2024-08-31T00:42:11.581Z
22.3429738,73.175227,2024-08-31T00:42:15.553Z
22.3429888,73.1752285,2024-08-31T00:42:17.791Z
22.3427173,73.1753158,2024-08-31T00:42:20.581Z
22.3423972,73.1754107,2024-08-31T00:42:22.978Z
22.3423672,73.1754123,2024-08-31T00:42:24.730Z
22.3422948,73.1754074,2024-08-31T00:42:28.335Z
22.3422717,73.1753955,2024-08-31T00:42:30.544Z
22.3422669,73.1753951,2024-08-31T00:42:31.683Z
22.3422811,73.1754031,2024-08-31T00:42:34.013Z
22.3419822,73.1752965,2024-08-31T00:42:36.226Z
22.3416681,73.1750483,2024-08-31T00:42:38.476Z
22.3416354,73.1750224,2024-08-31T00:42:38.987Z
22.3416017,73.1750185,2024-08-31T00:42:40.810Z
22.3409587,73.1750868,2024-08-31T00:42:42.504Z
22.340801,73.1750949,2024-08-31T00:42:44.585Z
22.3407691,73.1751057,2024-08-31T00:42:46.270Z
22.3407556,73.1751061,2024-08-31T00:42:47.892Z
22.340691,73.1751033,2024-08-31T00:42:52.599Z
22.3406793,73.1751007,2024-08-31T00:42:55.555Z
22.3406081,73.1750258,2024-08-31T00:42:57.927Z
22.3405997,73.1750174,2024-08-31T00:42:59.073Z
22.3405212,73.1750107,2024-08-31T00:43:01.256Z
22.3405163,73.1750105,2024-08-31T00:43:02.545Z
22.340322,73.174863,2024-08-31T00:43:06.089Z
22.3403026,73.1748621,2024-08-31T00:43:09.585Z
22.3399779,73.1747009,2024-08-31T00:43:11.947Z
22.339912,73.1745752,2024-08-31T00:43:16.682Z
22.339141,73.174736,2024-08-31T00:43:20.579Z
22.3390358,73.174688,2024-08-31T00:43:25.336Z
22.3389966,73.1746877,2024-08-31T00:43:27.597Z
22.3389438,73.1747265,2024-08-31T00:43:31.129Z
22.3388014,73.1746253,2024-08-31T00:43:34.779Z
22.3387978,73.1746135,2024-08-31T00:43:38.292Z
22.3387912,73.1746134,2024-08-31T00:43:41.700Z
22.3383763,73.1743695,2024-08-31T00:43:46.059Z
22.3383433,73.1743677,2024-08-31T00:43:48.771Z
22.3378366,73.1741676,2024-08-31T00:43:51.586Z
22.3377978,73.1741352,2024-08-31T00:43:54.642Z
22.3377959,73.1741327,2024-08-31T00:43:55.659Z
22.3368511,73.1738823,2024-08-31T00:43:58.203Z
22.3368274,73.1738863,2024-08-31T00:44:01.407Z
22.3368272,73.1738863,2024-08-31T00:44:02.927Z
22.3368136,73.1738931,2024-08-31T00:44:06.071Z
22.336743,73.1739249,2024-08-31T00:44:09.148Z
22.3367395,73.1739261,2024-08-31T00:44:09.760Z
22.3367966,73.1738916,2024-08-31T00:44:12.144Z
22.3367422,73.1739401,2024-08-31T00:44:16.093Z
22.3367871,73.1738729,2024-08-31T00:44:17.325Z
22.3367901,73.1738454,2024-08-31T00:44:20.597Z
22.3367664,73.1738854,2024-08-31T00:44:23.876Z
22.3367941,73.173862,2024-08-31T00:44:26.107Z
22.3367972,73.1738586,2024-08-31T00:44:26.474Z
22.3364972,73.173985,2024-08-31T00:44:29.139Z
22.3364107,73.1740469,2024-08-31T00:44:32.410Z
22.3363855,73.174117,2024-08-31T00:44:36.570Z
22.336385,73.1741176,2024-08-31T00:44:40.201Z
22.3362412,73.1747355,2024-08-31T00:44:44.617Z
22.3361296,73.1751612,2024-08-31T00:44:46.939Z
22.3361252,73.1751787,2024-08-31T00:44:47.364Z
22.3360728,73.1752471,2024-08-31T00:44:55.495Z
22.3361618,73.1753986,2024-08-31T00:44:57.903Z
22.3361945,73.1754166,2024-08-31T00:45:00.615Z
22.3361956,73.1754171,2024-08-31T00:45:01.245Z
22.3361923,73.1754557,2024-08-31T00:45:03.948Z
22.3362017,73.1754288,2024-08-31T00:45:06.513Z
22.3362022,73.1754285,2024-08-31T00:45:08.336Z
22.3362913,73.1755189,2024-08-31T00:45:11.030Z
22.3362975,73.1755123,2024-08-31T00:45:13.658Z
22.3362978,73.175512,2024-08-31T00:45:15.367Z
22.3363047,73.1755275,2024-08-31T00:45:17.149Z
22.336317,73.1755267,2024-08-31T00:45:19.666Z
22.3363318,73.1755279,2024-08-31T00:45:22.324Z
22.3363325,73.1755281,2024-08-31T00:45:22.417Z
22.3363498,73.1755313,2024-08-31T00:45:24.153Z
22.3363405,73.1755634,2024-08-31T00:45:26.876Z
22.3363404,73.175564,2024-08-31T00:45:29.338Z
22.3363186,73.1755322,2024-08-31T00:45:31.556Z
22.3363137,73.1755061,2024-08-31T00:45:34.161Z
22.3363178,73.1755022,2024-08-31T00:45:36.332Z
22.3363181,73.175502,2024-08-31T00:45:36.479Z
22.3362968,73.1755017,2024-08-31T00:45:39.085Z
22.3362982,73.1755017,2024-08-31T00:45:41.578Z
22.3362985,73.1755043,2024-08-31T00:45:43.483Z
22.3363213,73.1755149,2024-08-31T00:45:46.406Z
22.3362623,73.1758564,2024-08-31T00:46:41.743Z
22.3363469,73.1758026,2024-08-31T00:46:45.125Z
22.3363315,73.1758234,2024-08-31T00:46:47.904Z
22.3363306,73.1758245,2024-08-31T00:46:49.115Z
22.3362441,73.1760103,2024-08-31T00:46:52.512Z
22.3362334,73.1760122,2024-08-31T00:46:55.824Z
22.3363117,73.1766633,2024-08-31T00:47:00.086Z
22.3363183,73.1766657,2024-08-31T00:47:02.890Z
22.3362981,73.1776273,2024-08-31T00:47:05.574Z
22.3363285,73.1777301,2024-08-31T00:47:09.368Z
22.3363381,73.1778369,2024-08-31T00:47:14.056Z
22.3363281,73.1777896,2024-08-31T00:47:16.841Z
22.3363264,73.1777646,2024-08-31T00:47:18.984Z
22.3362661,73.1778092,2024-08-31T00:47:22.623Z
22.3362563,73.1778109,2024-08-31T00:47:26.865Z
22.3362671,73.1778939,2024-08-31T00:47:34.223Z
22.3367138,73.1793972,2024-08-31T00:47:37.555Z
22.3367755,73.179629,2024-08-31T00:47:40.175Z
22.3367787,73.1796353,2024-08-31T00:47:40.840Z
22.3368772,73.1799653,2024-08-31T00:47:43.607Z
22.3368713,73.1799637,2024-08-31T00:47:46.457Z
22.3368707,73.1799637,2024-08-31T00:47:47.867Z
22.3368384,73.1812443,2024-08-31T00:47:51.066Z
22.3368703,73.1814403,2024-08-31T00:47:54.214Z
22.3368323,73.1815009,2024-08-31T00:47:58.940Z
22.3368313,73.1815053,2024-08-31T00:48:01.507Z
22.3368312,73.1815057,2024-08-31T00:48:01.945Z
22.3368263,73.1815524,2024-08-31T00:48:03.339Z
22.3368787,73.1815349,2024-08-31T00:48:05.430Z
22.3368459,73.1815107,2024-08-31T00:48:08.051Z
22.3369579,73.1819197,2024-08-31T00:48:11.696Z
22.3369652,73.1819521,2024-08-31T00:48:11.840Z
22.3372153,73.1825595,2024-08-31T00:48:13.317Z
22.3373013,73.1828051,2024-08-31T00:48:17.994Z
22.3373065,73.1828114,2024-08-31T00:48:18.871Z
22.3374813,73.1831232,2024-08-31T00:48:20.939Z
22.3375142,73.1831264,2024-08-31T00:48:25.823Z
22.3374159,73.1835474,2024-08-31T00:48:30.119Z
22.3374149,73.1835618,2024-08-31T00:48:32.977Z
22.3372184,73.1844445,2024-08-31T00:48:37.585Z
22.3372082,73.1845653,2024-08-31T00:48:40.313Z
22.3374179,73.1852699,2024-08-31T00:48:44.851Z
22.3374217,73.1852837,2024-08-31T00:48:47.236Z
22.3374749,73.1858205,2024-08-31T00:48:50.509Z
22.3374731,73.1858403,2024-08-31T00:48:54.322Z
22.3373786,73.1860694,2024-08-31T00:49:01.267Z
22.3373763,73.1860738,2024-08-31T00:49:01.349Z
22.3374441,73.1877163,2024-08-31T00:49:08.046Z
22.3373786,73.1881921,2024-08-31T00:49:19.587Z
22.3371967,73.1892627,2024-08-31T00:49:23.937Z
22.3371945,73.1892622,2024-08-31T00:49:24.521Z
