Latitude,Longitude,Timestamp,geometry,matched_road
22.2942056,73.3622754,2024-08-30T08:57:21.455Z,POINT (73.3622754 22.2942056),POINT (73.2926488 22.2935934)
22.2934861,73.3621748,2024-08-30T09:23:17.304Z,POINT (73.3621748 22.2934861),POINT (73.2926488 22.2935934)
22.2934691,73.362189,2024-08-30T09:23:19.273Z,POINT (73.362189 22.2934691),POINT (73.2926488 22.2935934)
22.2934698,73.3621899,2024-08-30T09:23:21.428Z,POINT (73.3621899 22.2934698),POINT (73.2926488 22.2935934)
22.2934713,73.3621902,2024-08-30T09:23:24.887Z,POINT (73.3621902 22.2934713),POINT (73.2926488 22.2935934)
22.293479,73.3621774,2024-08-30T09:23:28.420Z,POINT (73.3621774 22.293479),POINT (73.2926488 22.2935934)
22.2934799,73.3621712,2024-08-30T09:23:33.163Z,POINT (73.3621712 22.2934799),POINT (73.2926488 22.2935934)
22.293482,73.3621759,2024-08-30T09:23:36.048Z,POINT (73.3621759 22.293482),POINT (73.2926488 22.2935934)
22.2934553,73.3621773,2024-08-30T09:23:41.246Z,POINT (73.3621773 22.2934553),POINT (73.2926488 22.2935934)
22.2934376,73.3621737,2024-08-30T09:23:46.105Z,POINT (73.3621737 22.2934376),POINT (73.2926488 22.2935934)
22.2929659,73.3625617,2024-08-30T09:23:56.263Z,POINT (73.3625617 22.2929659),POINT (73.2926488 22.2935934)
22.2929288,73.3626308,2024-08-30T09:23:56.323Z,POINT (73.3626308 22.2929288),POINT (73.2926488 22.2935934)
22.2929267,73.3626396,2024-08-30T09:23:56.421Z,POINT (73.3626396 22.2929267),POINT (73.2926488 22.2935934)
22.2928828,73.3630496,2024-08-30T09:24:03.233Z,POINT (73.3630496 22.2928828),POINT (73.2926488 22.2935934)
22.292879,73.3631106,2024-08-30T09:24:06.191Z,POINT (73.3631106 22.292879),POINT (73.2926488 22.2935934)
22.2920192,73.3635113,2024-08-30T09:25:08.860Z,POINT (73.3635113 22.2920192),POINT (73.2926488 22.2935934)
22.2916117,73.3641417,2024-08-30T09:26:24.697Z,POINT (73.3641417 22.2916117),POINT (73.2926488 22.2935934)
22.2912149,73.3640242,2024-08-30T09:26:27.715Z,POINT (73.3640242 22.2912149),POINT (73.2926488 22.2935934)
22.2912075,73.364025,2024-08-30T09:26:29.926Z,POINT (73.364025 22.2912075),POINT (73.2926488 22.2935934)
22.2888717,73.362565,2024-08-30T09:26:32.602Z,POINT (73.362565 22.2888717),POINT (73.2926488 22.2935934)
22.2884605,73.3626861,2024-08-30T09:26:36.858Z,POINT (73.3626861 22.2884605),POINT (73.2926488 22.2935934)
22.2884562,73.3626873,2024-08-30T09:26:39.016Z,POINT (73.3626873 22.2884562),POINT (73.2926488 22.2935934)
22.2884664,73.3627434,2024-08-30T09:26:41.793Z,POINT (73.3627434 22.2884664),POINT (73.2926488 22.2935934)
22.2884481,73.3627266,2024-08-30T09:26:45.499Z,POINT (73.3627266 22.2884481),POINT (73.2926488 22.2935934)
22.2884479,73.3627264,2024-08-30T09:26:48.656Z,POINT (73.3627264 22.2884479),POINT (73.2926488 22.2935934)
22.2884582,73.3627447,2024-08-30T09:26:51.379Z,POINT (73.3627447 22.2884582),POINT (73.2926488 22.2935934)
22.2884582,73.3627448,2024-08-30T09:26:53.692Z,POINT (73.3627448 22.2884582),POINT (73.2926488 22.2935934)
22.2884815,73.362773,2024-08-30T09:26:57.839Z,POINT (73.362773 22.2884815),POINT (73.2926488 22.2935934)
22.2884817,73.362773,2024-08-30T09:27:01.817Z,POINT (73.362773 22.2884817),POINT (73.2926488 22.2935934)
22.2877558,73.3630939,2024-08-30T09:27:09.182Z,POINT (73.3630939 22.2877558),POINT (73.2926488 22.2935934)
22.2878499,73.3632765,2024-08-30T09:27:15.394Z,POINT (73.3632765 22.2878499),POINT (73.2926488 22.2935934)
