Latitude,Longitude,Timestamp,geometry,matched_road
22.3494646,73.1504533,2024-08-29T14:36:11.036Z,POINT (73.1504533 22.3494646),POINT (73.2540498 22.2965549)
22.3441789,73.163611,2024-08-30T00:39:36.236Z,POINT (73.163611 22.3441789),POINT (73.2540498 22.2965549)
22.34414,73.1641883,2024-08-30T00:39:43.489Z,POINT (73.1641883 22.34414),POINT (73.2540498 22.2965549)
22.3441002,73.1642597,2024-08-30T00:39:50.091Z,POINT (73.1642597 22.3441002),POINT (73.2540498 22.2965549)
22.344058,73.1643355,2024-08-30T00:39:50.157Z,POINT (73.1643355 22.344058),POINT (73.2540498 22.2965549)
22.3440547,73.1643469,2024-08-30T00:39:50.625Z,POINT (73.1643469 22.3440547),POINT (73.2540498 22.2965549)
22.3430655,73.1691721,2024-08-30T00:40:50.519Z,POINT (73.1691721 22.3430655),POINT (73.2540498 22.2965549)
22.3431359,73.1691536,2024-08-30T00:40:56.281Z,POINT (73.1691536 22.3431359),POINT (73.2540498 22.2965549)
22.3431498,73.1691651,2024-08-30T00:41:01.803Z,POINT (73.1691651 22.3431498),POINT (73.2540498 22.2965549)
22.3431539,73.1691652,2024-08-30T00:41:05.662Z,POINT (73.1691652 22.3431539),POINT (73.2540498 22.2965549)
22.3431683,73.169378,2024-08-30T00:41:10.659Z,POINT (73.169378 22.3431683),POINT (73.2540498 22.2965549)
22.3431684,73.1693788,2024-08-30T00:41:12.649Z,POINT (73.1693788 22.3431684),POINT (73.2540498 22.2965549)
22.3428733,73.1696433,2024-08-30T00:42:08.734Z,POINT (73.1696433 22.3428733),POINT (73.2540498 22.2965549)
22.3423511,73.1734104,2024-08-30T00:42:15.976Z,POINT (73.1734104 22.3423511),POINT (73.2540498 22.2965549)
22.3422877,73.1737336,2024-08-30T00:42:16.061Z,POINT (73.1737336 22.3422877),POINT (73.2540498 22.2965549)
22.338905,73.1747151,2024-08-30T00:43:29.800Z,POINT (73.1747151 22.338905),POINT (73.2540498 22.2965549)
22.3390022,73.1747754,2024-08-30T00:43:33.401Z,POINT (73.1747754 22.3390022),POINT (73.2540498 22.2965549)
22.3389151,73.1746373,2024-08-30T00:43:36.087Z,POINT (73.1746373 22.3389151),POINT (73.2540498 22.2965549)
22.3388794,73.1746837,2024-08-30T00:43:39.139Z,POINT (73.1746837 22.3388794),POINT (73.2540498 22.2965549)
