Latitude,Longitude,Timestamp,geometry,matched_road
22.29629314172334,73.25490441173315,2024-09-02T16:40:24.817Z,POINT (73.25490441173315 22.29629314172334),POINT (73.25490868927392 22.296308578149667)
22.29620783423298,73.2553043961525,2024-09-02T16:41:35.279Z,POINT (73.2553043961525 22.29620783423298),POINT (73.25530210340649 22.29619956036564)
22.29610949789765,73.25565677136183,2024-09-02T16:41:51.725Z,POINT (73.25565677136183 22.29610949789765),POINT (73.25565554060928 22.296104850211353)
22.29599658164176,73.25613722205162,2024-09-02T16:42:08.612Z,POINT (73.25613722205162 22.29599658164176),POINT (73.25613244975348 22.295978560029972)
22.29597889969232,73.25627904385328,2024-09-02T16:42:30.481Z,POINT (73.25627904385328 22.29597889969232),POINT (73.25626935363333 22.295942306550607)
22.295899485997094,73.25660560280085,2024-09-02T16:42:42.446Z,POINT (73.25660560280085 22.295899485997094),POINT (73.2565972017594 22.295862474986297)
22.295816349736548,73.25691506266594,2024-09-02T16:42:57.665Z,POINT (73.25691506266594 22.295816349736548),POINT (73.25690944471384 22.29579159969964)
22.295745001413803,73.25721479952335,2024-09-02T16:43:11.456Z,POINT (73.25721479952335 22.295745001413803),POINT (73.25721053828963 22.29572535517676)
22.295671481582257,73.25752023607492,2024-09-02T16:43:28.666Z,POINT (73.25752023607492 22.295671481582257),POINT (73.25751576564507 22.295653671661764)
22.29557531634336,73.25786557048559,2024-09-02T16:43:41.274Z,POINT (73.25786557048559 22.29557531634336),POINT (73.2578622409931 22.29556458255429)
22.295516376325523,73.25814820826054,2024-09-02T16:43:54.544Z,POINT (73.25814820826054 22.295516376325523),POINT (73.25815338379681 22.295531126314124)
22.29543044793918,73.25843721628189,2024-09-02T16:44:07.984Z,POINT (73.25843721628189 22.29543044793918),POINT (73.25843963960119 22.295440177840856)
22.295378642713214,73.25868532061577,2024-09-02T16:44:28.756Z,POINT (73.25868532061577 22.295378642713214),POINT (73.25868540177265 22.295378968567288)
22.295346690977446,73.25892236083746,2024-09-02T16:44:44.510Z,POINT (73.25892236083746 22.295346690977446),POINT (73.25891609730192 22.295321526221002)
22.29522353713143,73.25930826365948,2024-09-02T16:45:40.512Z,POINT (73.25930826365948 22.29522353713143),POINT (73.2593084517478 22.295224303994626)
22.29514102089175,73.25974982231855,2024-09-02T16:45:50.473Z,POINT (73.25974982231855 22.29514102089175),POINT (73.25974404505206 22.295117466144138)
22.295046716558183,73.26016087085009,2024-09-02T16:46:01.453Z,POINT (73.26016087085009 22.295046716558183),POINT (73.26015358668776 22.29501701797926)
22.294950240677373,73.26056018471718,2024-09-02T16:46:14.524Z,POINT (73.26056018471718 22.294950240677373),POINT (73.26055256191951 22.294919161433388)
22.294841976667517,73.26101951301098,2024-09-02T16:46:28.103Z,POINT (73.26101951301098 22.294841976667517),POINT (73.26101087334744 22.294806751514923)
22.294728749174915,73.26143458485603,2024-09-02T16:46:38.671Z,POINT (73.26143458485603 22.294728749174915),POINT (73.26142935747686 22.294706561711678)
22.29463320371253,73.2619147002697,2024-09-02T16:46:50.628Z,POINT (73.2619147002697 22.29463320371253),POINT (73.26190521259336 22.29459416458921)
22.29451966583787,73.26236765831709,2024-09-02T16:47:24.558Z,POINT (73.26236765831709 22.29451966583787),POINT (73.26235896359628 22.294483889503876)
22.294401164460464,73.26277032494545,2024-09-02T16:47:35.912Z,POINT (73.26277032494545 22.294401164460464),POINT (73.26276636691895 22.294384878293144)
22.294280181275155,73.26320484280586,2024-09-02T16:47:47.281Z,POINT (73.26320484280586 22.294280181275155),POINT (73.263204414659 22.294278419571068)
22.29417625973748,73.2636222615838,2024-09-02T16:47:58.983Z,POINT (73.2636222615838 22.29417625973748),POINT (73.26362236006557 22.294176648796387)
22.294083195608287,73.26401218771935,2024-09-02T16:48:13.725Z,POINT (73.26401218771935 22.294083195608287),POINT (73.26401094520021 22.294078286952196)
22.293986719062268,73.26456606388092,2024-09-02T16:48:28.568Z,POINT (73.26456606388092 22.293986719062268),POINT (73.26455908707855 22.293954538183815)
22.29388838116386,73.26499622315168,2024-09-02T16:48:37.875Z,POINT (73.26499622315168 22.29388838116386),POINT (73.26499029815257 22.293861051784848)
22.293808656066087,73.2654096186161,2024-09-02T16:48:50.438Z,POINT (73.2654096186161 22.293808656066087),POINT (73.26539867097101 22.293764467638972)
22.29370659546599,73.26580323278904,2024-09-02T16:49:01.306Z,POINT (73.26580323278904 22.29370659546599),POINT (73.26579335175845 22.29366668743681)
22.293587783184147,73.26622936874628,2024-09-02T16:49:13.196Z,POINT (73.26622936874628 22.293587783184147),POINT (73.26622709275959 22.293588426262442)
22.29346990144696,73.26665986329317,2024-09-02T16:49:26.298Z,POINT (73.26665986329317 22.29346990144696),POINT (73.2666579631256 22.293460869487504)
22.293390796541264,73.26705750077963,2024-09-02T16:49:36.086Z,POINT (73.26705750077963 22.293390796541264),POINT (73.26705468371725 22.293377406357422)
22.29326050601073,73.26746519654989,2024-09-02T16:49:47.378Z,POINT (73.26746519654989 22.29326050601073),POINT (73.26747134841682 22.293289747333024)
22.29318388271343,73.267912119627,2024-09-02T16:50:01.364Z,POINT (73.267912119627 22.29318388271343),POINT (73.26791476567705 22.293196460033975)
22.29306662106779,73.26836608350277,2024-09-02T16:50:11.734Z,POINT (73.26836608350277 22.29306662106779),POINT (73.26835955944556 22.293035967234797)
22.29296487014212,73.26880864799023,2024-09-02T16:50:22.230Z,POINT (73.26880864799023 22.29296487014212),POINT (73.26880366318366 22.292941448608087)
22.29282092968171,73.2692190259695,2024-09-02T16:50:34.160Z,POINT (73.2692190259695 22.29282092968171),POINT (73.26922556527485 22.292851655159293)
22.292752061564155,73.26972160488367,2024-09-02T16:50:43.182Z,POINT (73.26972160488367 22.292752061564155),POINT (73.2697203876078 22.292746342090826)
22.29270118599607,73.27014002949,2024-09-02T16:50:52.707Z,POINT (73.27014002949 22.29270118599607),POINT (73.27014549266036 22.292727153775846)
22.292657135184346,73.27114284038544,2024-09-02T16:52:26.175Z,POINT (73.27114284038544 22.292657135184346),POINT (73.2711406020091 22.29262239506608)
22.292585164814188,73.27176913619041,2024-09-02T16:52:37.646Z,POINT (73.27176913619041 22.292585164814188),POINT (73.27176946553405 22.29259371996883)
22.292538322010245,73.27236022800207,2024-09-02T16:52:45.793Z,POINT (73.27236022800207 22.292538322010245),POINT (73.27236148422907 22.292570908130347)
22.29254886939794,73.27287085354328,2024-09-02T16:52:55.862Z,POINT (73.27287085354328 22.29254886939794),POINT (73.27287094600703 22.292551267877545)
22.292527154187137,73.273472674191,2024-09-02T16:53:07.109Z,POINT (73.273472674191 22.292527154187137),POINT (73.27347270932954 22.292528065429593)
22.29250978201605,73.27405236661434,2024-09-02T16:53:15.547Z,POINT (73.27405236661434 22.29250978201605),POINT (73.27405220994855 22.292505719226522)
22.29249861419065,73.27461361885071,2024-09-02T16:53:25.630Z,POINT (73.27461361885071 22.29249861419065),POINT (73.27461305886833 22.292484092254195)
22.292482172668286,73.27512960880995,2024-09-02T16:53:37.256Z,POINT (73.27512960880995 22.292482172668286),POINT (73.2751289157721 22.29246420022518)
22.292461388099525,73.27563386410475,2024-09-02T16:53:48.071Z,POINT (73.27563386410475 22.292461388099525),POINT (73.27563315889418 22.292443976009856)
22.292407410249776,73.27621456235647,2024-09-02T16:53:58.280Z,POINT (73.27621456235647 22.292407410249776),POINT (73.27621474135644 22.29242563153372)
22.292433468524678,73.27642377465963,2024-09-02T16:54:19.023Z,POINT (73.27642377465963 22.292433468524678),POINT (73.27642367750829 22.29242357901288)
22.292360567386268,73.2769089192152,2024-09-02T16:54:30.702Z,POINT (73.2769089192152 22.292360567386268),POINT (73.276908806347 22.292350876134755)
22.292354673250003,73.2774031162262,2024-09-02T16:54:42.788Z,POINT (73.2774031162262 22.292354673250003),POINT (73.27740300497102 22.29234512049891)
22.2923590162978,73.2778812199831,2024-09-02T16:54:52.806Z,POINT (73.2778812199831 22.2923590162978),POINT (73.27788099331333 22.292339553654525)
22.292351260855224,73.27837374061346,2024-09-02T16:55:01.485Z,POINT (73.27837374061346 22.292351260855224),POINT (73.27837353745866 22.292333817287407)
22.292329855831465,73.27877271920443,2024-09-02T16:55:12.901Z,POINT (73.27877271920443 22.292329855831465),POINT (73.27877271119773 22.292329168349575)
22.29229076838832,73.27915091067553,2024-09-02T16:55:21.654Z,POINT (73.27915091067553 22.29229076838832),POINT (73.27915130654473 22.29232475907597)
22.3494488,73.1502652,2024-09-02T16:55:30.770Z,POINT (73.1502652 22.3494488),POINT (73.2540498 22.2965549)
22.29227060422686,73.27996630221605,2024-09-02T16:56:39.203Z,POINT (73.27996630221605 22.29227060422686),POINT (73.27996682230972 22.292315261251535)
22.2922774290203,73.28037835657597,2024-09-02T16:56:50.197Z,POINT (73.28037835657597 22.2922774290203),POINT (73.28037874131319 22.29231046387723)
22.29225044006252,73.28086987137794,2024-09-02T16:57:00.154Z,POINT (73.28086987137794 22.29225044006252),POINT (73.28087050373742 22.292304736614348)
22.292232757639063,73.28130606561899,2024-09-02T16:57:10.228Z,POINT (73.28130606561899 22.292232757639063),POINT (73.28130684473035 22.292299654811735)
22.29223772112657,73.2816956564784,2024-09-02T16:57:19.337Z,POINT (73.2816956564784 22.29223772112657),POINT (73.28169632495441 22.29229511876848)
22.292217867175477,73.28211676329374,2024-09-02T16:57:27.939Z,POINT (73.28211676329374 22.292217867175477),POINT (73.28211760585486 22.292290212361756)
